all_nodes	bindingprot_layer	cov_layer	deg_layer	gene_symbol	log2FoldChange	Matching.Attribute	name	node_source	padj	ppi_layer	selected	shared name	tf_layer
protein;deg	NA	NA	deg	LAMC2	-0.806407012	Q13753	Q13753	viralmirna	5.35E-06	NA;protein	FALSE	Q13753	NA
deg	NA	NA	deg	HLA-E	-0.502919163	A8K8M6	A8K8M6	viralmirna;viralprotein	0.0143686	NA	FALSE	A8K8M6	NA
deg	NA	NA	deg	S100A6	-0.619555999	P06703	P06703	viralmirna;viralprotein	3.23E-07	NA	FALSE	P06703	NA
deg	NA	NA	deg	CXCL3	0.997878613	P19876	P19876	viralmirna;viralprotein	1.56E-09	NA	FALSE	P19876	NA
deg	NA	NA	deg	CXCL2	1.122939839	A0A024RDD9	A0A024RDD9	viralmirna;viralprotein	1.90E-11	NA	FALSE	A0A024RDD9	NA
deg	NA	NA	deg	LAMB3	-0.547084428	A0A0S2Z3R6	A0A0S2Z3R6	viralmirna;viralprotein	0.004692928	NA	FALSE	A0A0S2Z3R6	NA
deg	NA	NA	deg	CXCL10	0.881589154	A0A024RDA4	A0A024RDA4	viralmirna;viralprotein	0.001973482	NA	FALSE	A0A024RDA4	NA
deg	NA	NA	deg	HSP90B1	-0.547448369	P14625	P14625	viralmirna;viralprotein	0.037446481	NA	FALSE	P14625	NA
deg	NA	NA	deg	CDH1	-0.574110715	B3GN61	B3GN61	viralmirna;viralprotein	8.92E-05	NA	FALSE	B3GN61	NA
deg	NA	NA	deg	TIMP2	-0.698393836	A0A140VK57	A0A140VK57	viralmirna;viralprotein	2.06E-05	NA	FALSE	A0A140VK57	NA
deg	NA	NA	deg	CALM1	-0.571348385	B4DJ51	B4DJ51	viralprotein	1.58E-08	NA	FALSE	B4DJ51	NA
deg	NA	NA	deg	RTN4	-0.619310569	Q9NQC3	Q9NQC3	viralmirna;viralprotein	8.14E-05	NA	FALSE	Q9NQC3	NA
deg	NA	NA	deg	APP	-0.620876954	A0A140VJC8	A0A140VJC8	viralmirna;viralprotein	1.73E-04	NA	FALSE	A0A140VJC8	NA
deg	NA	NA	deg	ANXA1	-1.015276493	P04083	P04083	viralmirna;viralprotein	2.91E-08	NA	FALSE	P04083	NA
protein	NA	NA	NA	ARHGEF11		O15085	O15085	viralprotein		protein	FALSE	O15085	NA
protein	NA	NA	NA	APAF1		O14727	O14727	viralmirna;viralprotein		protein	FALSE	O14727	NA
protein	NA	NA	NA	CERK		Q8TCT0	Q8TCT0	viralprotein		protein	FALSE	Q8TCT0	NA
protein	NA	NA	NA	TSC2		P49815	P49815	viralmirna;viralprotein		protein	FALSE	P49815	NA
protein	NA	NA	NA	PIAS2		O75928	O75928	viralmirna;viralprotein		protein	FALSE	O75928	NA
protein	NA	NA	NA	CCR10		P46092	P46092	viralmirna;viralprotein		protein	FALSE	P46092	NA
protein	NA	NA	NA	BHLHE40	0.906771215	O14503	O14503	viralmirna;viralprotein	5.20E-08	protein	FALSE	O14503	NA
protein	NA	NA	NA	CREB3L4		Q8TEY5	Q8TEY5	viralmirna;viralprotein		protein	FALSE	Q8TEY5	NA
protein	NA	NA	NA	EPN1		Q9Y6I3	Q9Y6I3	viralprotein		protein	FALSE	Q9Y6I3	NA
protein	NA	NA	NA	NANOS1		Q8WY41	Q8WY41	viralprotein		protein	FALSE	Q8WY41	NA
protein	NA	NA	NA	SARS1		P49591	P49591	viralprotein		protein	FALSE	P49591	NA
protein	NA	NA	NA	H4C15		P62805	P62805	viralmirna;viralprotein		protein	FALSE	P62805	NA
protein	NA	NA	NA	TSC1		Q92574	Q92574	viralprotein		protein	FALSE	Q92574	NA
protein	NA	NA	NA	EZH2		Q15910	Q15910	viralprotein		protein	FALSE	Q15910	NA
protein	NA	NA	NA	KAT2A		Q92830	Q92830	viralmirna;viralprotein		protein	FALSE	Q92830	NA
protein	NA	NA	NA	SPHK1		Q9NYA1	Q9NYA1	viralprotein		protein	FALSE	Q9NYA1	NA
protein	NA	NA	NA	FUBP1		Q96AE4	Q96AE4	viralprotein		protein	FALSE	Q96AE4	NA
protein	NA	NA	NA	NUDT6		P53370	P53370	viralprotein		protein	FALSE	P53370	NA
protein	NA	NA	NA	PER1	0.543911785	O15534	O15534	viralmirna;viralprotein	3.86E-06	protein	FALSE	O15534	NA
bindingprot;protein	bindingprot	NA	NA	LRRFIP1	-0.551882637	Q32MZ4	Q32MZ4	viralmirna;viralprotein	0.006938021	protein	FALSE	Q32MZ4	NA
protein	NA	NA	NA	SRSF2		Q01130	Q01130	viralmirna;viralprotein		protein	FALSE	Q01130	NA
protein	NA	NA	NA	PTAFR		P25105	P25105	viralmirna;viralprotein		protein	FALSE	P25105	NA
protein	NA	NA	NA	CDK8		P49336	P49336	viralmirna;viralprotein		protein	FALSE	P49336	NA
protein	NA	NA	NA	CLK1		P49759	P49759	viralmirna;viralprotein		protein	FALSE	P49759	NA
protein	NA	NA	NA	FARP2		O94887	O94887	viralprotein		protein	FALSE	O94887	NA
protein	NA	NA	NA	ARHGEF12		Q9NZN5	Q9NZN5	viralprotein		protein	FALSE	Q9NZN5	NA
bindingprot;protein	bindingprot	NA	NA	MCPH1	0.310568797	Q8NEM0	Q8NEM0	viralmirna;viralprotein	1	protein	FALSE	Q8NEM0	NA
protein	NA	NA	NA	DTX4		Q9Y2E6	Q9Y2E6	viralprotein		protein	FALSE	Q9Y2E6	NA
protein	NA	NA	NA	APLP2	-0.855187374	Q06481	Q06481	viralprotein	3.06E-11	protein	FALSE	Q06481	NA
protein	NA	NA	NA	HPSE		Q9Y251	Q9Y251	viralprotein		protein	FALSE	Q9Y251	NA
protein	NA	NA	NA	RHOC	-0.634772657	P08134	P08134	viralprotein	0.00133844	protein	FALSE	P08134	NA
bindingprot	bindingprot	NA	NA	DAAM1		Q9Y4D1	Q9Y4D1	viralmirna		NA;protein	FALSE	Q9Y4D1	NA
protein	NA	NA	NA	HSPG2		P98160	P98160	viralprotein		protein	FALSE	P98160	NA
protein	NA	NA	NA	BLM		P54132	P54132	viralmirna;viralprotein		protein	FALSE	P54132	NA
protein	NA	NA	NA	TAOK1		Q7L7X3	Q7L7X3	viralprotein		protein	FALSE	Q7L7X3	NA
protein	NA	NA	NA	TNFAIP3	1.529793472	P21580	P21580	viralprotein	8.04E-21	protein	FALSE	P21580	NA
protein	NA	NA	NA	SKAP1		Q86WV1	Q86WV1	viralprotein		protein	FALSE	Q86WV1	NA
protein	NA	NA	NA	CHP1	-0.250425139	Q99653	Q99653	viralprotein	1	protein	FALSE	Q99653	NA
protein	NA	NA	NA	AP2A1		O95782	O95782	viralprotein		protein	FALSE	O95782	NA
protein	NA	NA	NA	HUS1		O60921	O60921	viralprotein		protein	FALSE	O60921	NA
protein	NA	NA	NA	ATF6		P18850	P18850	viralmirna;viralprotein		protein	FALSE	P18850	NA
protein	NA	NA	NA	CDK16		Q00536	Q00536	viralmirna;viralprotein		protein	FALSE	Q00536	NA
protein	NA	NA	NA	WRN		Q14191	Q14191	viralprotein		protein	FALSE	Q14191	NA
protein	NA	NA	NA	HMGA2		P52926	P52926	viralprotein		protein	FALSE	P52926	NA
protein	NA	NA	NA	NR2F6		P10588	P10588	viralprotein		protein	FALSE	P10588	NA
protein	NA	NA	NA	IRS2		Q9Y4H2	Q9Y4H2	viralmirna;viralprotein		protein	FALSE	Q9Y4H2	NA
protein	NA	NA	NA	ARHGEF1		Q92888	Q92888	viralprotein		protein	FALSE	Q92888	NA
protein	NA	NA	NA	FZD5		Q13467	Q13467	viralprotein		protein	FALSE	Q13467	NA
protein	NA	NA	NA	MEN1		O00255	O00255	viralmirna;viralprotein		protein	FALSE	O00255	NA
protein	NA	NA	NA	JAG1	0.419631195	P78504	P78504	viralmirna;viralprotein	1	protein	FALSE	P78504	NA
protein	NA	NA	NA	TAF1		P21675	P21675	viralmirna;viralprotein		protein	FALSE	P21675	NA
protein	NA	NA	NA	STK36		Q9NRP7	Q9NRP7	viralmirna;viralprotein		protein	FALSE	Q9NRP7	NA
protein	NA	NA	NA	DOCK1		Q14185	Q14185	viralmirna;viralprotein		protein	FALSE	Q14185	NA
protein	NA	NA	NA	ITGA2	-0.581549845	P17301	P17301	viralmirna;viralprotein	1	protein	FALSE	P17301	NA
protein	NA	NA	NA	TFPI		P10646	P10646	viralprotein		protein	FALSE	P10646	NA
protein	NA	NA	NA	TRIM24		O15164	O15164	viralmirna;viralprotein		protein	FALSE	O15164	NA
protein	NA	NA	NA	UBE2N		P61088	P61088	viralprotein		protein	FALSE	P61088	NA
protein	NA	NA	NA	ADRB2		P07550	P07550	viralmirna;viralprotein		protein	FALSE	P07550	NA
protein	NA	NA	NA	FAF1		Q9UNN5	Q9UNN5	viralprotein		protein	FALSE	Q9UNN5	NA
protein	NA	NA	NA	ARHGAP24		Q8N264	Q8N264	viralmirna;viralprotein		protein	FALSE	Q8N264	NA
protein	NA	NA	NA	MAP3K4		Q9Y6R4	Q9Y6R4	viralprotein		protein	FALSE	Q9Y6R4	NA
protein	NA	NA	NA	ABL2		P42684	P42684	viralmirna;viralprotein		protein	FALSE	P42684	NA
protein;tf	NA	NA	NA	USF2		Q15853	Q15853	viralprotein		NA;protein	FALSE	Q15853	tf
protein	NA	NA	NA	AATK		Q6ZMQ8	Q6ZMQ8	viralmirna;viralprotein		protein	FALSE	Q6ZMQ8	NA
protein	NA	NA	NA	ELK4		P28324	P28324	viralmirna;viralprotein		protein	FALSE	P28324	NA
protein	NA	NA	NA	PRMT5		O14744	O14744	viralprotein		protein	FALSE	O14744	NA
protein	NA	NA	NA	IHH		Q14623	Q14623	viralprotein		protein	FALSE	Q14623	NA
protein	NA	NA	NA	GTF2I	-0.349483305	P78347	P78347	viralprotein	1	protein	FALSE	P78347	NA
protein	NA	NA	NA	CDK7		P50613	P50613	viralmirna;viralprotein		protein	FALSE	P50613	NA
protein	NA	NA	NA	PELI3		Q8N2H9	Q8N2H9	viralprotein		protein	FALSE	Q8N2H9	NA
protein	NA	NA	NA	FARP1		Q9Y4F1	Q9Y4F1	viralprotein		protein	FALSE	Q9Y4F1	NA
protein	NA	NA	NA	UIMC1	0.323929861	Q96RL1	Q96RL1	viralprotein	1	protein	FALSE	Q96RL1	NA
protein	NA	NA	NA	UBB	-0.343870493	P0CG47	P0CG47	viralmirna;viralprotein	1	protein	FALSE	P0CG47	NA
protein	NA	NA	NA	PLCB4	0.339068735	Q15147	Q15147	viralmirna;viralprotein	1	protein	FALSE	Q15147	NA
protein	NA	NA	NA	EXOC2		Q96KP1	Q96KP1	viralprotein		protein	FALSE	Q96KP1	NA
protein	NA	NA	NA	PRC1		O43663	O43663	viralprotein		protein	FALSE	O43663	NA
protein	NA	NA	NA	CXCL1		P09341	P09341	viralprotein		protein	FALSE	P09341	NA
protein	NA	NA	NA	MDC1		Q14676	Q14676	viralmirna;viralprotein		protein	FALSE	Q14676	NA
protein	NA	NA	NA	TNFRSF11A	0.312217328	Q9Y6Q6	Q9Y6Q6	viralmirna;viralprotein	0.001716086	protein	FALSE	Q9Y6Q6	NA
protein	NA	NA	NA	DIAPH1	-0.310046971	O60610	O60610	viralmirna;viralprotein	1	protein	FALSE	O60610	NA
protein	NA	NA	NA	RPS6KB2		Q9UBS0	Q9UBS0	viralmirna;viralprotein		protein	FALSE	Q9UBS0	NA
